"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","area","rank","percent"
"20","Kansas",35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,81759,34,0.008795007151687708
"28","Mississippi",62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,46923,35,0.00877748529590573
"35","New Mexico",17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,121298,36,0.006319881784681582
"16","Idaho",23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,82643,37,0.0059117603236565315
"31","Nebraska",25.67286,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,76824,38,0.005907387347683594
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,24038,39,0.005285867654368186
"15","Hawaii",223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,6423,40,0.004292818724316348
"33","New Hampshire",156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,8953,41,0.004202121405524198
"23","Maine",45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,30843,42,0.004173622181974536
"30","Montana",7.82919,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,145546,43,0.0034130388575306743
"44","Rhode Island",1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,1034,44,0.003266202710888676
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,1949,45,0.0030909901434469406
"46","South Dakota",12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,75811,46,0.00276600913931012
"38","North Dakota",11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,69001,47,0.002338008608742337
"2","Alaska",1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,570641,48,0.002195425630512374
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,9217,49,0.0019383545470840645
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,97093,50,0.001747030857889977
